Format Version,1.25,Take Name,Take 2026-04-10 07.17.20 PM,Take Notes,,Capture Frame Rate,240.000000,Export Frame Rate,240.000000,Capture Start Time,2026-04-10 07.17.20.324 ,Capture Start Frame,571468,Total Frames in Take,1452,Total Exported Frames,1452,Rotation Type,Quaternion,Length Units,Millimeters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
5,0.020833,0.648834,-0.387818,-0.421928,-0.500587,747.108032,318.652618,2387.500488,762.777710,261.497162,2338.923340,737.779236,298.123688,2449.370117,731.497131,364.479553,2441.597656,756.378113,350.510254,2320.110840,762.816467,261.668121,2338.136963,737.806885,298.197601,2449.615234,731.378052,364.670868,2441.694336,756.453735,350.069092,2320.319580,717.928833,446.787659,2363.116943,745.588379,226.876007,2396.060547,687.599976,722.979248,2320.588867,710.843811,499.323914,2356.239014,,,
6,0.025000,0.648949,-0.387754,-0.421799,-0.500597,747.048706,318.607941,2387.421875,762.736694,261.445801,2338.858398,737.699890,298.087830,2449.291504,731.418091,364.442322,2441.506836,756.340393,350.455872,2320.030762,762.780579,261.630127,2338.068359,737.721436,298.171082,2449.535645,731.306641,364.622803,2441.600342,756.412354,349.999237,2320.249268,717.910217,446.683472,2363.006104,745.495667,226.842987,2395.993164,687.414368,722.901917,2320.373779,710.717896,499.258789,2356.105225,,,
7,0.029167,0.648966,-0.387800,-0.421738,-0.500592,746.964783,318.574707,2387.341064,762.648865,261.405640,2338.784424,737.611145,298.062317,2449.212646,731.336487,364.416595,2441.420654,756.262512,350.414337,2319.946777,762.701904,261.586151,2338.013428,737.622437,298.162445,2449.448730,731.239685,364.575562,2441.505859,756.324402,349.958069,2320.177246,717.793457,446.656494,2362.875732,745.450928,226.826416,2395.932617,687.205505,722.836609,2320.145752,710.542358,499.225677,2355.936035,,,
8,0.033333,0.649190,-0.387701,-0.421665,-0.500438,746.901489,318.537689,2387.260010,762.618958,261.354919,2338.730225,737.538940,298.046600,2449.136963,731.242554,364.395508,2441.317139,756.205688,350.353821,2319.855469,762.673096,261.540771,2337.950195,737.549255,298.145844,2449.378418,731.146973,364.555115,2441.396973,756.267029,349.891907,2320.093750,717.694153,446.618408,2362.762207,745.385559,226.795547,2395.867188,687.042725,722.699280,2319.859375,710.418152,499.182953,2355.784180,,,
9,0.037500,0.649289,-0.387654,-0.421714,-0.500306,746.826233,318.494843,2387.140869,762.559082,261.307434,2338.621582,737.471924,298.012878,2449.021973,731.155518,364.358429,2441.189453,756.118530,350.300781,2319.729736,762.640198,261.474152,2337.877686,737.457520,298.126648,2449.234131,731.084961,364.504486,2441.284424,756.156738,349.850342,2319.961670,717.537231,446.604034,2362.601562,745.333862,226.751709,2395.795410,686.907837,722.585083,2319.601318,710.289856,499.132965,2355.611328,,,
10,0.041667,0.649663,-0.387364,-0.421553,-0.500180,746.719604,318.444550,2387.024658,762.522095,261.246490,2338.540771,737.333557,297.982727,2448.907959,730.982117,364.321106,2441.042969,756.040710,350.227997,2319.606934,762.588562,261.430878,2337.775879,737.334229,298.067139,2449.132812,730.892334,364.498352,2441.139893,756.094299,349.767059,2319.829834,717.371521,446.571198,2362.437988,745.288818,226.715027,2395.698242,686.722839,722.508667,2319.353271,710.187073,499.077271,2355.442139,,,
11,0.045833,0.649953,-0.387192,-0.421616,-0.499883,746.658020,318.403473,2386.902344,762.509155,261.194061,2338.447754,737.281006,297.964417,2448.794434,730.879944,364.294128,2440.896729,755.962036,350.161438,2319.470459,762.553040,261.373047,2337.689209,737.304199,298.026001,2449.016357,730.768311,364.496948,2440.985107,756.029846,349.705688,2319.702881,717.182678,446.553741,2362.225098,745.265869,226.678711,2395.605469,686.563843,722.441406,2319.139160,710.043640,499.023315,2355.245605,,,
12,0.050000,0.650140,-0.387095,-0.421730,-0.499619,746.577637,318.366760,2386.759521,762.458740,261.149567,2338.323975,737.219116,297.944275,2448.659912,730.776978,364.267273,2440.739258,755.855713,350.106079,2319.315186,762.525391,261.312225,2337.575439,737.224548,298.000732,2448.867188,730.680115,364.480652,2440.846191,755.908020,349.663727,2319.531006,717.022278,446.528168,2362.028809,745.447632,226.424728,2395.479248,686.419495,722.376343,2318.910889,709.925659,498.971588,2355.053223,,,
13,0.054167,0.650238,-0.387096,-0.421741,-0.499481,746.541077,318.316681,2386.604492,762.431885,261.089722,2338.183594,737.189087,297.908875,2448.510986,730.733276,364.228424,2440.572510,755.810059,350.039795,2319.151367,762.508301,261.257355,2337.460449,737.178894,297.974365,2448.730225,730.655273,364.417236,2440.667725,755.852478,349.605835,2319.358398,716.923889,446.457672,2361.837891,745.412476,226.379959,2395.365234,686.267822,722.290527,2318.660645,709.833679,498.905914,2354.848633,,,
14,0.058333,0.650319,-0.387100,-0.421787,-0.499334,746.456970,318.278259,2386.448975,762.355591,261.043243,2338.040039,737.116272,297.883209,2448.360840,730.644531,364.199371,2440.407227,755.711548,349.987244,2318.986816,762.432983,261.205505,2337.334473,737.103943,297.945251,2448.576904,730.567871,364.389587,2440.509277,755.752747,349.562836,2319.180176,716.779785,446.414703,2361.625244,745.430176,226.322250,2395.246826,686.123596,722.207825,2318.375000,709.736145,498.849030,2354.618652,,,
