Format Version,1.25,Take Name,Take 2026-04-10 07.20.30 PM,Take Notes,,Capture Frame Rate,240.000000,Export Frame Rate,240.000000,Capture Start Time,2026-04-10 07.20.30.436 ,Capture Start Frame,617094,Total Frames in Take,1334,Total Exported Frames,1334,Rotation Type,Quaternion,Length Units,Millimeters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Rigid Body 001,Rigid Body 001,Rigid Body 001,Rigid Body 001,Rigid Body 001,Rigid Body 001,Rigid Body 001,Rigid Body 001:Marker 001,Rigid Body 001:Marker 001,Rigid Body 001:Marker 001,Rigid Body 001:Marker 002,Rigid Body 001:Marker 002,Rigid Body 001:Marker 002,Rigid Body 001:Marker 003,Rigid Body 001:Marker 003,Rigid Body 001:Marker 003,Rigid Body 001:Marker 004,Rigid Body 001:Marker 004,Rigid Body 001:Marker 004,Rigid Body 001:Marker 001,Rigid Body 001:Marker 001,Rigid Body 001:Marker 001,Rigid Body 001:Marker 002,Rigid Body 001:Marker 002,Rigid Body 001:Marker 002,Rigid Body 001:Marker 003,Rigid Body 001:Marker 003,Rigid Body 001:Marker 003,Rigid Body 001:Marker 004,Rigid Body 001:Marker 004,Rigid Body 001:Marker 004,Unlabeled 1088,Unlabeled 1088,Unlabeled 1088,Unlabeled 1089,Unlabeled 1089,Unlabeled 1089,Unlabeled 1090,Unlabeled 1090,Unlabeled 1090,Unlabeled 1091,Unlabeled 1091,Unlabeled 1091
,ID,9CD38A742DEF11F1C49A80DE9094A5,9CD38A742DEF11F1C49A80DE9094A5,9CD38A742DEF11F1C49A80DE9094A5,9CD38A742DEF11F1C49A80DE9094A5,9CD38A742DEF11F1C49A80DE9094A5,9CD38A742DEF11F1C49A80DE9094A5,9CD38A742DEF11F1C49A80DE9094A5,"9CD38A742DEF11F1:C49A80DE9094A5","9CD38A742DEF11F1:C49A80DE9094A5","9CD38A742DEF11F1:C49A80DE9094A5","9CD38A742DEF11F1:C49A80DE9094A5","9CD38A742DEF11F1:C49A80DE9094A5","9CD38A742DEF11F1:C49A80DE9094A5","9CD38A742DEF11F1:C49A80DE9094A5","9CD38A742DEF11F1:C49A80DE9094A5","9CD38A742DEF11F1:C49A80DE9094A5","9CD38A742DEF11F1:C49A80DE9094A5","9CD38A742DEF11F1:C49A80DE9094A5","9CD38A742DEF11F1:C49A80DE9094A5","92808EBA350111F1:C49A80DE9097A5","92808EBA350111F1:C49A80DE9097A5","92808EBA350111F1:C49A80DE9097A5","92808EBB350111F1:C49A80DE9097A5","92808EBB350111F1:C49A80DE9097A5","92808EBB350111F1:C49A80DE9097A5","92808EBC350111F1:C49A80DE9097A5","92808EBC350111F1:C49A80DE9097A5","92808EBC350111F1:C49A80DE9097A5","92808EBD350111F1:C49A80DE9097A5","92808EBD350111F1:C49A80DE9097A5","92808EBD350111F1:C49A80DE9097A5","245:8EF3FB4034FA11F1","245:8EF3FB4034FA11F1","245:8EF3FB4034FA11F1","248:8EF3FB4034FA11F1","248:8EF3FB4034FA11F1","248:8EF3FB4034FA11F1","249:8EF3FB4034FA11F1","249:8EF3FB4034FA11F1","249:8EF3FB4034FA11F1","24B:8EF3FB4034FA11F1","24B:8EF3FB4034FA11F1","24B:8EF3FB4034FA11F1"
,Parent,,,,,,,,Rigid Body 001,Rigid Body 001,Rigid Body 001,Rigid Body 001,Rigid Body 001,Rigid Body 001,Rigid Body 001,Rigid Body 001,Rigid Body 001,Rigid Body 001,Rigid Body 001,Rigid Body 001,,,,,,,,,,,,,,,,,,,,,,,,
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,-0.664942,0.385581,0.416348,0.485627,691.138611,311.967804,2420.269043,708.650391,253.384567,2374.080566,681.532959,293.588776,2482.769043,673.871521,359.443695,2472.405273,700.499573,341.454224,2351.821045,708.544983,253.734558,2373.311768,681.674133,293.591400,2483.041260,673.627380,359.696930,2472.475098,700.704834,340.848724,2352.059570,651.008118,491.221954,2382.586426,691.969910,220.404480,2432.226562,659.173767,438.842133,2390.565918,623.346558,713.796631,2344.588135
1,0.004167,-0.665157,0.385461,0.415441,0.486205,690.975464,311.780548,2419.581787,708.516479,253.177322,2373.429932,681.229126,293.414062,2482.063721,673.656128,359.276459,2471.682617,700.500305,341.254486,2351.150879,708.445251,253.555420,2372.727539,681.320129,293.479401,2482.365967,673.489136,359.410950,2471.713379,700.674927,340.647614,2351.383301,650.658386,491.129913,2381.862549,691.869690,220.270493,2431.680664,659.020142,438.672516,2389.746094,622.933655,713.654846,2343.799805
2,0.008333,-0.666372,0.384442,0.414894,0.485814,690.870850,311.600494,2418.958740,708.645752,252.975250,2372.924316,681.011108,293.293365,2481.440186,673.326111,359.126495,2470.956299,700.500305,341.007050,2350.513428,708.631470,253.275726,2372.213379,681.055115,293.385162,2481.735596,673.203735,359.247253,2470.979736,700.622681,340.467407,2350.765869,650.592468,490.819580,2381.025879,691.978210,219.962585,2431.155273,658.809509,438.534943,2389.023438,622.662903,713.480469,2343.028320
3,0.012500,-0.667530,0.383441,0.414851,0.485051,690.737488,311.449310,2418.367432,708.742188,252.812561,2372.437256,680.841431,293.198395,2480.859863,672.985901,358.995514,2470.276367,700.380432,340.790894,2349.896240,708.773682,253.061447,2371.691895,680.854187,293.262634,2481.151123,672.877747,359.164368,2470.326660,700.473206,340.298004,2350.116211,650.340881,490.640289,2380.128418,692.063660,219.716614,2430.658447,658.496704,438.432770,2388.223145,622.486145,713.170593,2342.128906
4,0.016667,-0.668066,0.382876,0.414568,0.485002,690.647217,311.273895,2417.759033,708.767700,252.638641,2371.872314,680.684875,293.034576,2480.244141,672.782288,358.820831,2469.628418,700.354248,340.601654,2349.290771,708.752747,252.940414,2371.170410,680.729004,293.101898,2480.547363,672.651428,358.963074,2469.667725,700.482788,340.074493,2349.501221,650.108582,490.502258,2379.327148,692.005493,219.601807,2430.104248,658.399780,438.077423,2387.401367,622.109375,713.002747,2341.320801
5,0.020833,-0.668850,0.382254,0.413723,0.485134,690.439758,311.122894,2417.102051,708.703552,252.464020,2371.302490,680.331482,292.923218,2479.575439,672.422180,358.697876,2468.893066,700.301880,340.406586,2348.637451,708.725830,252.741272,2370.623047,680.339722,293.024170,2479.842529,672.327332,358.810852,2468.942383,700.397095,339.889923,2348.859131,649.875549,490.318939,2378.494141,691.839844,219.524277,2429.541504,658.291199,437.854828,2386.556152,621.735413,712.877625,2340.455078
6,0.025000,-0.669616,0.381903,0.412848,0.485098,690.287964,310.967224,2416.461426,708.662476,252.259171,2370.769531,680.051636,292.838257,2478.934570,672.149536,358.598511,2468.158203,700.288208,340.173187,2347.983643,708.625366,252.562378,2370.083984,680.123230,292.889191,2479.194092,671.984924,358.770294,2468.222656,700.437561,339.627594,2348.194336,649.720215,490.035858,2377.595703,691.568665,219.467636,2429.006348,658.216614,437.492767,2385.773193,621.458496,712.721802,2339.671387
7,0.029167,-0.670129,0.381831,0.412198,0.485000,690.197327,310.781708,2415.915771,708.627136,252.023849,2370.310059,679.879333,292.719971,2478.394775,671.995239,358.469147,2467.538330,700.287781,339.914001,2347.419678,708.576416,252.362793,2369.624023,679.959839,292.735748,2478.697510,671.824768,358.657684,2467.574951,700.448242,339.357330,2347.623535,649.573608,489.809784,2376.733154,691.468506,219.342392,2428.580322,657.972900,437.289520,2385.005371,621.019348,712.552002,2338.886475
8,0.033333,-0.670753,0.381816,0.411684,0.484585,690.109863,310.632111,2415.384521,708.600769,251.810349,2369.886230,679.741699,292.663147,2477.881836,671.844971,358.392822,2466.917236,700.252075,339.662262,2346.852783,708.541077,252.204956,2369.225098,679.819885,292.673462,2478.191162,671.688904,358.560547,2466.924072,700.416260,339.059906,2347.080811,649.333618,489.607880,2375.864014,691.445679,219.100784,2428.183594,657.808105,437.125732,2384.070801,620.766357,712.292175,2338.106201
9,0.037500,-0.671676,0.381357,0.410935,0.484304,690.020996,310.451782,2414.785645,708.651123,251.578690,2369.410400,679.542847,292.565857,2477.288574,671.613953,358.272858,2466.211670,700.276062,339.389832,2346.231689,708.618469,251.943802,2368.749512,679.590149,292.651947,2477.587402,671.495667,358.367645,2466.210938,700.413696,338.804993,2346.491211,649.163818,489.385773,2374.988281,691.332581,218.933182,2427.771240,657.610779,436.945465,2383.250000,620.594543,712.022766,2337.324219
10,0.041667,-0.672842,0.380519,0.410631,0.483603,689.932129,310.281555,2414.197510,708.771973,251.378357,2368.948242,679.392273,292.472351,2476.711914,671.330750,358.143036,2465.515869,700.233459,339.132568,2345.613770,708.760498,251.681534,2368.295410,679.422363,292.581635,2477.017090,671.225037,358.223022,2465.521729,700.352417,338.615692,2345.850830,649.068542,489.090668,2374.142578,691.459473,218.685852,2427.326172,657.528992,436.716309,2382.457764,620.138977,711.826599,2336.472168
11,0.045833,-0.673809,0.379983,0.409238,0.483859,689.800842,310.146729,2413.561523,708.787476,251.186874,2368.447754,679.047913,292.414337,2476.061523,671.031067,358.072205,2464.758789,700.337036,338.913605,2344.978271,708.793701,251.487793,2367.767578,679.070129,292.531982,2476.321777,670.919983,358.170197,2464.814209,700.453003,338.365997,2345.205078,648.972412,488.831116,2373.325439,691.516724,218.502182,2426.854492,657.529785,436.436829,2381.699463,619.883484,711.494080,2335.606934
12,0.050000,-0.674482,0.379667,0.408384,0.483890,689.666199,310.012909,2412.917969,708.749390,251.009674,2367.901855,678.787842,292.342010,2475.413818,670.788452,357.987854,2464.029053,700.339172,338.712189,2344.327637,708.746826,251.333450,2367.186768,678.818970,292.459167,2475.688965,670.658569,358.095459,2464.107178,700.475037,338.138916,2344.528809,648.741333,488.668732,2372.489014,691.601318,218.233612,2426.276367,657.219666,436.375183,2380.840332,619.607727,711.284729,2334.767578
13,0.054167,-0.675001,0.379117,0.408035,0.483892,689.583923,309.847321,2412.342285,708.778503,250.845139,2367.372070,678.630310,292.187469,2474.828125,670.594788,357.823303,2463.411133,700.332031,338.533447,2343.758057,708.769592,251.181870,2366.644775,678.663025,292.292999,2475.148926,670.462524,357.931915,2463.472412,700.475952,337.968445,2343.942871,648.545532,488.450073,2371.652588,691.397827,218.161835,2425.639404,657.066956,436.151733,2380.099854,619.497986,710.925659,2333.808105
14,0.058333,-0.675697,0.378289,0.408237,0.483398,689.545471,309.658630,2411.748047,708.904846,250.676758,2366.821533,678.586365,292.006104,2474.234863,670.411865,357.617889,2462.778564,700.278748,338.333832,2343.156738,708.849426,251.008331,2366.179443,678.661011,292.078583,2474.555908,670.264465,357.721100,2462.768555,700.437256,337.802795,2343.391602,648.447754,488.220978,2370.850830,691.237610,218.071182,2425.116699,656.992859,435.911194,2379.376709,619.123352,710.736755,2332.941650
15,0.062500,-0.676351,0.377682,0.407878,0.483260,689.463196,309.519623,2411.208984,708.953735,250.531998,2366.347168,678.429382,291.892426,2473.689941,670.201233,357.488556,2462.182373,700.268494,338.165619,2342.616943,708.851868,250.876068,2365.756592,678.554504,291.909485,2473.996094,670.010803,357.629974,2462.150879,700.458374,337.636902,2342.857666,648.181702,488.113495,2370.136719,691.092590,217.958069,2424.642090,656.848999,435.695465,2378.644043,618.834839,710.541199,2332.073730
16,0.066667,-0.677319,0.377008,0.407008,0.483164,689.361450,309.367798,2410.653076,709.017944,250.344879,2365.910156,678.184082,291.804108,2473.126465,669.927673,357.379395,2461.520752,700.316162,337.942932,2342.055420,709.047852,250.544464,2365.323975,678.201599,291.863739,2473.322754,669.827820,357.531677,2461.554932,700.391541,337.496552,2342.306152,648.078796,487.895233,2369.373047,691.024292,217.870850,2424.269043,656.760376,435.535858,2377.981934,618.442566,710.422974,2331.190918
17,0.070833,-0.677861,0.376900,0.406055,0.483291,689.227966,309.237061,2410.157471,708.943237,250.160995,2365.510498,677.921570,291.740051,2472.626221,669.718384,357.307739,2460.940186,700.328674,337.739594,2341.552734,708.993286,250.398071,2364.903809,677.910522,291.828766,2472.836426,669.632324,357.433960,2461.023193,700.405273,337.259644,2341.740234,647.817993,487.705719,2368.635254,690.974426,217.809402,2423.940186,656.533325,435.429169,2377.283691,618.068481,710.274231,2330.323242
18,0.075000,-0.678541,0.376935,0.404742,0.483412,689.123413,309.093842,2409.715576,708.891785,249.932541,2365.205322,677.651978,291.701508,2472.183350,669.536072,357.258820,2460.379150,700.413757,337.482574,2341.094727,708.890259,250.263779,2364.498047,677.690735,291.767578,2472.437500,669.387268,357.423004,2460.469727,700.555176,336.895966,2341.290771,647.625305,487.548676,2367.950928,691.052734,217.615158,2423.590332,656.210938,435.352936,2376.692627,618.006714,709.961731,2329.464844
19,0.079167,-0.679211,0.376556,0.404667,0.482828,688.975647,308.983673,2409.303223,708.853394,249.797607,2364.874512,677.493286,291.649445,2471.785156,669.291077,357.181061,2459.897949,700.264832,337.306732,2340.655029,708.805176,250.132111,2364.135986,677.573975,291.707336,2472.122070,669.109192,357.337860,2459.933105,700.441772,336.746948,2340.863770,647.498779,487.394592,2367.356201,691.021606,217.500488,2423.267090,656.113525,435.126038,2376.100586,617.707520,709.775879,2328.696533
20,0.083333,-0.679716,0.376357,0.404705,0.482240,688.818115,308.886200,2408.926758,708.769409,249.674606,2364.565186,677.349182,291.607117,2471.426514,669.072144,357.116089,2459.466797,700.081726,337.147125,2340.248779,708.734619,249.964722,2363.810303,677.422241,291.653320,2471.798828,668.891235,357.287720,2459.498779,700.248169,336.645264,2340.429199,647.348511,487.227203,2366.803955,690.930542,217.426682,2422.909668,656.036011,434.940857,2375.588867,617.266602,709.638855,2327.879883
21,0.087500,-0.680294,0.376070,0.404595,0.481741,688.664734,308.796814,2408.597168,708.705627,249.559555,2364.310303,677.182922,291.572723,2471.109863,668.838318,357.059326,2459.074463,699.932190,336.995789,2339.894531,708.666382,249.814743,2363.542236,677.272339,291.623260,2471.426758,668.634949,357.254913,2459.126953,700.100952,336.496155,2340.103271,646.985962,487.098877,2366.215820,690.885986,217.320694,2422.643066,655.903259,434.784485,2375.169922,616.938171,709.485168,2327.126953
22,0.091667,-0.680918,0.375811,0.404394,0.481230,688.519775,308.733887,2408.301514,708.650818,249.462814,2364.100830,677.015564,291.575134,2470.828125,668.610596,357.038086,2458.706299,699.802246,336.859589,2339.571289,708.632324,249.694748,2363.304932,677.094299,291.622711,2471.121582,668.414978,357.254089,2458.757324,699.953308,336.362427,2339.812744,646.676025,486.963776,2365.706055,690.858337,217.169434,2422.397949,655.706848,434.659637,2374.690674,616.731995,709.255005,2326.397461
23,0.095833,-0.681268,0.375783,0.404280,0.480851,688.351074,308.656891,2408.042480,708.519592,249.355316,2363.899658,676.844116,291.549835,2470.582520,668.408813,356.997437,2458.399414,699.631897,336.725159,2339.288330,708.505188,249.582275,2363.124268,676.918762,291.596313,2470.857178,668.211304,357.218781,2458.476318,699.782654,336.230591,2339.503906,646.571960,486.820923,2365.266113,690.742065,217.104752,2422.206543,655.351746,434.606537,2374.214844,616.552795,709.047424,2325.696289
24,0.100000,-0.681681,0.375768,0.404308,0.480255,688.184143,308.573303,2407.787354,708.396362,249.236877,2363.711670,676.700134,291.530029,2470.349121,668.208130,356.956177,2458.090088,699.431946,336.570190,2338.998779,708.362915,249.473862,2362.959717,676.792053,291.554688,2470.615234,667.991211,357.199829,2458.168701,699.595581,336.069183,2339.211182,646.336731,486.738251,2364.812744,690.489990,217.101288,2422.016357,655.127014,434.485413,2373.838379,616.141418,708.859436,2324.979492
25,0.104167,-0.682142,0.375796,0.404102,0.479751,687.984131,308.509186,2407.563477,708.238037,249.125610,2363.570557,676.493408,291.541840,2470.144531,667.970520,356.947479,2457.797852,699.234497,336.421875,2338.740967,708.231873,249.352402,2362.834961,676.560120,291.580322,2470.383057,667.780273,357.178772,2457.890381,699.376709,335.920563,2338.955078,646.134216,486.639252,2364.414551,690.353516,217.027603,2421.905762,654.867126,434.399597,2373.484619,615.998047,708.567322,2324.355957
26,0.108333,-0.682388,0.375974,0.404037,0.479316,687.800354,308.448730,2407.361816,708.058777,249.024933,2363.425049,676.326782,291.542694,2469.962646,667.786194,356.933716,2457.550781,699.029785,336.293701,2338.508545,708.078613,249.247208,2362.712158,676.367371,291.604980,2470.168701,667.626038,357.139069,2457.659180,699.150146,335.785950,2338.726318,645.898193,486.502411,2364.028809,690.215088,216.978027,2421.816650,654.661011,434.290985,2373.166260,615.693054,708.424377,2323.741211
27,0.112500,-0.682420,0.376382,0.404086,0.478910,687.612000,308.365662,2407.192139,707.828552,248.900101,2363.292969,676.181824,291.516418,2469.816162,667.642456,356.897858,2457.353516,698.795105,336.148407,2338.306396,707.852905,249.142181,2362.599121,676.212585,291.584900,2470.012207,667.493347,357.090942,2457.474121,698.912903,335.621857,2338.512207,645.613525,486.366882,2363.664062,690.061707,216.934708,2421.770752,654.589722,434.064575,2372.882080,615.350098,708.293701,2323.160156
28,0.116667,-0.682656,0.376558,0.404437,0.478137,687.429077,308.297638,2407.041260,707.653564,248.799362,2363.189941,676.079163,291.510773,2469.696777,667.468018,356.870026,2457.166992,698.515564,336.010498,2338.111572,707.673401,249.054733,2362.514648,676.107239,291.584290,2469.895752,667.322632,357.048920,2457.292236,698.637939,335.477600,2338.300781,645.347717,486.236206,2363.318848,689.917053,216.879745,2421.722900,654.350403,433.975769,2372.627930,614.831299,708.185120,2322.561768
29,0.120833,-0.682783,0.376805,0.404708,0.477531,687.213562,308.248291,2406.906982,707.426208,248.718948,2363.092529,675.932251,291.514771,2469.589355,667.275879,356.857819,2457.005859,698.219910,335.901703,2337.940674,707.462341,248.963562,2362.446777,675.940186,291.593292,2469.789551,667.158386,357.017487,2457.116211,698.321716,335.391327,2338.128662,645.140442,486.108490,2363.021973,689.757446,216.792038,2421.734619,654.093445,433.893768,2372.384766,614.478088,708.029419,2322.055420
30,0.125000,-0.682815,0.377262,0.404749,0.477091,687.007690,308.193756,2406.789551,707.173096,248.617737,2363.016602,675.773071,291.523438,2469.496826,667.120056,356.855988,2456.857178,697.964478,335.777924,2337.787598,707.152588,248.891342,2362.358887,675.832642,291.602600,2469.698730,666.954712,357.015076,2456.953369,698.111816,335.232208,2338.007080,644.915588,486.005402,2362.767578,689.638733,216.734283,2421.744873,653.749207,433.836731,2372.122070,614.189880,707.875977,2321.594727
31,0.129167,-0.683161,0.377369,0.404836,0.476436,686.826782,308.128174,2406.681885,707.016663,248.512375,2362.974121,675.631470,291.527832,2469.414795,666.925354,356.838287,2456.697510,697.733643,335.634308,2337.640869,706.992310,248.774521,2362.309082,675.698730,291.587463,2469.625000,666.751770,357.020355,2456.780518,697.881592,335.102631,2337.869141,644.656128,485.901642,2362.540771,689.479858,216.684769,2421.753906,653.429749,433.766571,2371.895752,613.830566,707.734192,2321.087646
32,0.133333,-0.683354,0.377634,0.404872,0.475918,686.642212,308.066345,2406.593750,706.822754,248.408203,2362.939941,675.484558,291.531036,2469.350586,666.756165,356.825653,2456.567627,697.505493,335.500580,2337.517334,706.772949,248.676605,2362.258789,675.577637,291.584412,2469.567383,666.555420,357.019226,2456.643066,697.674866,334.959534,2337.759766,644.344360,485.774963,2362.240967,689.392822,216.598602,2421.770264,653.145020,433.657166,2371.677490,613.516724,707.552673,2320.543457
33,0.137500,-0.683276,0.378073,0.405236,0.475372,686.472290,307.972626,2406.494873,706.599976,248.284256,2362.857910,675.404053,291.483154,2469.279541,666.649353,356.766998,2456.459473,697.235901,335.356232,2337.382568,706.564026,248.548767,2362.206543,675.475403,291.570404,2469.500977,666.486267,356.904480,2456.513428,697.386475,334.830505,2337.634766,644.044189,485.671478,2362.004395,689.221497,216.565552,2421.789307,652.868896,433.569885,2371.489258,613.268982,707.291016,2320.035645
34,0.141667,-0.683492,0.378467,0.405519,0.474507,686.278015,307.909271,2406.417480,706.387024,248.167770,2362.844482,675.297363,291.507019,2469.240234,666.487915,356.766388,2456.333740,696.939575,335.196045,2337.251221,706.334656,248.410675,2362.164551,675.394897,291.560822,2469.466064,666.283813,356.960754,2456.403320,697.108154,334.684204,2337.489258,643.824036,485.543457,2361.788574,689.099609,216.507782,2421.829590,652.630493,433.472778,2371.321533,612.950989,707.154846,2319.590820
35,0.145833,-0.683616,0.378924,0.405387,0.474075,686.127991,307.803955,2406.333252,706.197937,248.005051,2362.821045,675.172546,291.479034,2469.180664,666.376709,356.725861,2456.201660,696.764709,335.006012,2337.129883,706.148376,248.278320,2362.128662,675.258606,291.578918,2469.392822,666.185303,356.873871,2456.293701,696.938660,334.449646,2337.368652,643.488831,485.457886,2361.544922,688.977173,216.442947,2421.848145,652.427551,433.362305,2371.171875,612.615051,707.032104,2319.153809
36,0.150000,-0.683583,0.379462,0.405673,0.473448,685.993408,307.712280,2406.246582,706.003540,247.868256,2362.768799,675.126526,291.452911,2469.126465,666.311218,356.686005,2456.091309,696.532471,334.842102,2337.000000,705.981567,248.128571,2362.108398,675.178284,291.577271,2469.354980,666.167664,356.788879,2456.157227,696.674988,334.319183,2337.237061,643.239136,485.327209,2361.334229,688.882202,216.369736,2421.866211,652.237488,433.249542,2371.034180,612.265869,706.860596,2318.729980
37,0.154167,-0.683795,0.379825,0.405945,0.472617,685.841187,307.638275,2406.171143,705.835938,247.744293,2362.755127,675.057800,291.462067,2469.086670,666.188293,356.671234,2455.968994,696.282715,334.675659,2336.873535,705.805176,248.005844,2362.086426,675.121216,291.572174,2469.306641,666.031982,356.793610,2456.034668,696.432251,334.143219,2337.124512,643.006653,485.200806,2361.133789,688.778564,216.325027,2421.886475,652.022095,433.142883,2370.870117,611.855835,706.729126,2318.229004
38,0.158333,-0.683968,0.380144,0.406036,0.472031,685.699829,307.564636,2406.096924,705.678223,247.625641,2362.735840,674.966492,291.458374,2469.039062,666.070679,356.650085,2455.852539,696.083862,334.524628,2336.760498,705.629089,247.890762,2362.063965,675.047546,291.564819,2469.262939,665.895935,356.777313,2455.918213,696.249634,333.989227,2337.010010,642.792358,485.051300,2360.907959,688.680725,216.281647,2421.902588,651.810120,433.039062,2370.682617,611.496277,706.587341,2317.766113
39,0.162500,-0.684032,0.380594,0.406330,0.471322,685.565918,307.493317,2406.010010,705.504578,247.509308,2362.692627,674.920044,291.457672,2468.984863,665.988098,356.631378,2455.733887,695.851135,334.375092,2336.628418,705.459167,247.777710,2362.026367,674.994324,291.569458,2469.209717,665.821594,356.749908,2455.799561,696.013245,333.838806,2336.875244,642.577148,484.917114,2360.668457,688.574707,216.247040,2421.918457,651.509216,432.946686,2370.467285,611.199646,706.421814,2317.306152
40,0.166667,-0.684306,0.380827,0.406570,0.470529,685.467957,307.408112,2405.914062,705.412048,247.380753,2362.659424,674.892639,291.449585,2468.920410,665.898865,356.598480,2455.589844,695.668274,334.203827,2336.486816,705.411804,247.600449,2361.955566,674.932129,291.582520,2469.139893,665.759949,356.717133,2455.669922,695.796326,333.698059,2336.735352,642.358398,484.802307,2360.411133,688.529114,216.197418,2421.913330,651.249084,432.881622,2370.226562,611.010803,706.161133,2316.863770
41,0.170833,-0.684324,0.381353,0.406800,0.469877,685.347107,307.353180,2405.802734,705.237610,247.276398,2362.592041,674.853943,291.467346,2468.841309,665.840271,356.600372,2455.446533,695.456543,334.068665,2336.331055,705.225159,247.511078,2361.898926,674.897644,291.599487,2469.085449,665.699158,356.708466,2455.519043,695.594727,333.565582,2336.558838,642.123718,484.655060,2360.142578,688.430237,216.178238,2421.913086,651.026672,432.813873,2370.004883,610.715027,705.993591,2316.402832
42,0.175000,-0.684464,0.381698,0.407124,0.469113,685.242188,307.294067,2405.686768,705.113098,247.176178,2362.524170,674.835815,291.478729,2468.757324,665.768982,356.590393,2455.295166,695.250732,333.931091,2336.170654,705.125000,247.374817,2361.835938,674.858276,291.632751,2468.992676,665.648743,356.683441,2455.372070,695.367004,333.458862,2336.396729,641.933472,484.553497,2359.869629,688.384338,216.111282,2421.900391,650.880066,432.646149,2369.772949,610.337219,705.867493,2315.868408
43,0.179167,-0.684493,0.382167,0.407205,0.468617,685.156982,307.223297,2405.563477,704.980469,247.058319,2362.444580,674.805542,291.474182,2468.659668,665.735596,356.573273,2455.138428,695.106384,333.787506,2336.010742,704.986816,247.286530,2361.748291,674.825684,291.634796,2468.914062,665.618103,356.654633,2455.212646,695.229858,333.293274,2336.230225,641.719299,484.482117,2359.533447,688.321777,216.086823,2421.892578,650.704712,432.559235,2369.554443,610.063538,705.744202,2315.282959
