620, 5.125000, 9.99, -0.45, -0.71, 9.31, -1.71, -1.76 , 1.28, 0.05, 0.21 
627, 5.125000, 10.05, -0.50, -0.75, 9.27, -1.67, -1.75 , 1.28, 0.08, 0.30 
633, 5.125000, 10.06, -0.37, -0.76, 9.26, -1.63, -1.75 , 1.28, 0.05, 0.21 
640, 5.125000, 10.07, -0.29, -0.74, 9.26, -1.68, -1.81 , 1.28, 0.05, 0.21 
647, 5.125000, 10.07, -0.34, -0.74, 9.24, -1.53, -1.70 , 1.28, 0.08, 0.30 
653, 5.125000, 10.00, -0.31, -0.77, 9.18, -1.52, -1.75 , 1.28, 0.05, 0.21 
660, 5.125000, 9.97, -0.29, -0.76, 9.29, -1.64, -1.73 , 1.28, 0.08, 0.30 
666, 5.125000, 9.96, -0.32, -0.71, 9.20, -1.59, -1.78 , 1.28, 0.07, 0.26 
673, 5.125000, 9.90, -0.27, -0.79, 9.20, -1.69, -1.75 , 1.28, 0.04, 0.16 
679, 5.125000, 9.91, -0.29, -0.66, 9.22, -1.61, -1.72 , 1.28, 0.04, 0.16 
686, 5.125000, 10.02, -0.37, -0.76, 9.21, -1.60, -1.71 , 1.28, 0.05, 0.21 
692, 5.125000, 10.08, -0.32, -0.79, 9.33, -1.67, -1.68 , 1.28, 0.04, 0.16 
699, 5.125000, 10.13, -0.24, -0.78, 9.37, -1.57, -1.84 , 1.28, 0.05, 0.21 
705, 5.125000, 10.19, -0.16, -0.88, 9.38, -1.63, -1.81 , 1.28, 0.04, 0.16 
712, 5.125000, 10.15, -0.16, -0.89, 9.42, -1.48, -1.80 , 1.28, 0.05, 0.21 
718, 5.125000, 10.15, -0.11, -0.94, 9.36, -1.50, -1.82 , 1.28, 0.07, 0.26 
725, 5.125000, 10.10, 0.02, -1.01, 9.39, -1.50, -1.92 , 1.28, 0.07, 0.26 
731, 5.125000, 10.06, 0.02, -0.94, 9.29, -1.47, -1.86 , 1.28, 0.05, 0.21 
738, 5.125000, 10.03, 0.05, -0.82, 9.33, -1.39, -1.94 , 1.28, 0.04, 0.16 
744, 5.125000, 10.00, 0.02, -0.82, 9.35, -1.39, -1.78 , 1.28, 0.04, 0.16 
751, 5.125000, 10.07, 0.02, -0.85, 9.32, -1.33, -1.79 , 1.28, 0.04, 0.16 
758, 5.125000, 10.05, 0.01, -0.80, 9.37, -1.39, -1.77 , 1.28, 0.05, 0.21 
764, 5.125000, 10.02, -0.01, -0.82, 9.34, -1.39, -1.75 , 1.28, 0.04, 0.16 
771, 5.125000, 10.01, 0.06, -0.76, 9.29, -1.40, -1.65 , 1.28, 0.04, 0.16 
777, 5.125000, 9.99, -0.02, -0.71, 9.26, -1.46, -1.76 , 1.28, 0.07, 0.26 
784, 5.125000, 10.00, -0.08, -0.75, 9.23, -1.55, -1.71 , 1.28, 0.05, 0.21 
790, 5.125000, 9.97, -0.01, -0.70, 9.28, -1.69, -1.65 , 1.28, 0.04, 0.16 
797, 5.125000, 9.96, -0.15, -0.62, 9.26, -1.70, -1.70 , 1.28, 0.05, 0.21 
803, 5.125000, 10.05, -0.14, -0.68, 9.34, -1.61, -1.69 , 1.28, 0.04, 0.16 
810, 5.125000, 10.03, -0.13, -0.78, 9.36, -1.67, -1.74 , 1.28, 0.04, 0.16 
816, 5.125000, 10.14, -0.15, -0.83, 9.33, -1.59, -1.81 , 1.28, 0.05, 0.21 
823, 5.125000, 10.10, -0.16, -0.84, 9.39, -1.59, -1.80 , 1.28, 0.04, 0.16 
829, 5.125000, 10.10, -0.15, -0.87, 9.32, -1.55, -1.87 , 1.28, 0.07, 0.26 
836, 5.125000, 10.08, -0.15, -1.01, 9.32, -1.57, -1.90 , 1.28, 0.05, 0.21 
842, 5.125000, 10.06, -0.12, -0.99, 9.37, -1.64, -1.90 , 1.28, 0.04, 0.16 
849, 5.125000, 10.09, -0.15, -0.88, 9.33, -1.65, -1.94 , 1.28, 0.04, 0.16 
